t,omega_ref_rpm,omega_rpm,iq_ref,iq_unsat,aw,Te,T_L,ids,iqs,vd,vq,du,sat_iq,mpc_status
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911794082137682,0.0,6.090066154974933,0.0,0.0,0.0,na
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9257121068954834,0.0,5.8992337025777,0.0,0.0,0.0,na
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934683483425428,0.0,5.864027301235207,0.0,0.0,0.0,na
0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.942790195497205,0.0,5.828647357178114,0.0,0.0,0.0,na
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.950116281590728,0.0,5.793035723668844,0.0,0.0,0.0,na
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.956734970875348,0.0,5.757254432384052,0.0,0.0,0.0,na
0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962712642400222,0.0,5.721359348108999,0.0,0.0,0.0,na
0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96810946781454,0.0,5.685400656505382,0.0,0.0,0.0,na
0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.972979991607953,0.0,5.6494234000936085,0.0,0.0,0.0,na
0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977373657113692,0.0,5.613467964154077,0.0,0.0,0.0,na
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.981335283345855,0.0,5.57757051715166,0.0,0.0,0.0,na
0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.984905497266437,0.0,5.541763409936089,0.0,0.0,0.0,na
0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.988121125648045,0.0,5.50607553757034,0.0,0.0,0.0,na
0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.991015550308921,0.0,5.470532667283171,0.0,0.0,0.0,na
0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.993619030143814,0.0,5.435157735709804,0.0,0.0,0.0,na
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995958993054353,0.0,5.399971118295466,0.0,0.0,0.0,na
0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998060300592351,0.0,5.364990873461254,0.0,0.0,0.0,na
0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999945487866604,0.0,5.330232963894187,0.0,0.0,0.0,na
0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001634981025317,0.0,5.295711457098687,0.0,0.0,0.0,na
0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003147294410065,0.0,5.261438707149672,0.0,0.0,0.0,na
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00449920928158,0.0,5.227425519404224,0.0,0.0,0.0,na
0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005705935839622,0.0,5.193681299766113,0.0,0.0,0.0,na
0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.006781260098595,0.0,5.16021418994586,0.0,0.0,0.0,na
0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007737677034434,0.0,5.12703119002842,0.0,0.0,0.0,na
0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0085865112858565,0.0,5.094138269533656,0.0,0.0,0.0,na
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.009338026573443,0.0,5.061540468045982,0.0,0.0,0.0,na
0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010001524891008,0.0,5.029241986388774,0.0,0.0,0.0,na
0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010585436425202,0.0,4.997246269229191,0.0,0.0,0.0,na
0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.011097401070088,0.0,4.965556079912728,0.0,0.0,0.0,na
0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.011544342322268,0.0,4.934173568255887,0.0,0.0,0.0,na
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.011932534268643,0.0,4.903100331954669,0.0,0.0,0.0,na
0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012267662312667,0.0,4.8723374722088195,0.0,0.0,0.0,na
0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012554878224145,0.0,4.8418856440975055,0.0,0.0,0.0,na
0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012798850043283,0.0,4.811745102204542,0.0,0.0,0.0,na
0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013003807319877,0.0,4.781915741931334,0.0,0.0,0.0,na
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013173582123769,0.0,4.752397136906424,0.0,0.0,0.0,na
0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013311646221773,0.0,4.723188572852003,0.0,0.0,0.0,na
0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013421144779365,0.0,4.69428907824337,0.0,0.0,0.0,na
0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013504926912007,0.0,4.66569745205918,0.0,0.0,0.0,na
0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013565573380628,0.0,4.637412288895418,0.0,0.0,0.0,na
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013605421698049,0.0,4.609432001690434,0.0,0.0,0.0,na
0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0136265888885605,0.0,4.581754842283961,0.0,0.0,0.0,na
0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0136309921198,0.0,4.5543789200138045,0.0,0.0,0.0,na
0.043000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013620367405922,0.0,4.527302218533983,0.0,0.0,0.0,na
0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013596286562411,0.0,4.500522611020646,0.0,0.0,0.0,na
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013560172575809,0.0,4.474037873917477,0.0,0.0,0.0,na
0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01351331353655,0.0,4.447845699356444,0.0,0.0,0.0,na
0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013456875269315,0.0,4.421943706379812,0.0,0.0,0.0,na
0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013391912782579,0.0,4.3963294510748465,0.0,0.0,0.0,na
0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013319380647666,0.0,4.371000435722841,0.0,0.0,0.0,na
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013240142407477,0.0,4.3459541170560225,0.0,0.0,0.0,na
0.051000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013154979105597,0.0,4.321187913706574,0.0,0.0,0.0,na
0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013064597017774,0.0,4.296699212921444,0.0,0.0,0.0,na
0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012969634660762,0.0,4.272485376614551,0.0,0.0,0.0,na
0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012870669145598,0.0,4.248543746816777,0.0,0.0,0.0,na
