,du2,du2,itae,itae,overshoot_%,overshoot_%,rmse_rpm,rmse_rpm,sat_pct,sat_pct,settling_s,settling_s
controller,MPC,PID,MPC,PID,MPC,PID,MPC,PID,MPC,PID,MPC,PID
scenario,,,,,,,,,,,,
S0_NOMINAL,447.480595590913,428.4261790486277,6392.186521604662,34539.23224044906,0.04064983016890741,44.69868091028123,210.8484209577612,242.2537756162021,5.738615327656423,8.182154757497223,0.15600000000000003,1.291
S1_Rs_PLUS20,447.48172397330444,428.42590339624206,6392.17392771886,34539.194685461836,0.04064544849493359,44.698694697784596,210.84838095095972,242.25371571511246,5.738615327656423,8.182154757497223,0.15600000000000003,1.291
S2_Rs_MINUS20,447.47946852467516,428.4264549479801,6392.199114449009,34539.269798146306,0.04065420555258849,44.69866715072591,210.84846101966517,242.2538355730474,5.738615327656423,8.182154757497223,0.15600000000000003,1.291
S3_Rr_PLUS20,448.1128380937619,428.5437196342104,6271.369600377331,34104.26405196557,0.0558803697265527,44.4557027592586,209.7096501252716,240.89506544759251,5.701592002961866,8.108108108108109,0.15500000000000003,1.291
S4_Rr_MINUS20,447.01310212834676,428.41463376851914,6672.662171961994,35534.7011705079,0.025807807958350772,45.21860398493182,213.41139736028853,245.30596492928206,5.849685301740096,8.367271380970012,0.15900000000000003,1.291
S5_Lsigma_PLUS20,447.64656903071045,428.30311463886926,6467.285677161734,34852.7894089135,0.039112428378560556,44.788879081310036,211.47383128091553,242.995608237101,5.775638652350981,8.256201406886339,0.15700000000000003,1.292
S6_Lsigma_MINUS20,447.4116023295822,428.1134258451684,6317.638121945415,34227.621550910866,0.043219940786593726,44.60588271674427,210.22187860847006,241.50897036540454,5.701592002961866,8.145131432802666,0.15500000000000003,1.29
S7_Lm_PLUS10,455.3396812813005,436.8891926643459,7550.222412042904,39127.79854322994,0.15651697829888084,47.552428991726806,220.1589101026932,253.49440382942723,6.219918548685672,9.107737874861163,0.16900000000000004,1.297
S8_Lm_MINUS10,449.851535504625,430.13460080981025,9644.455847530975,48177.00261133263,0.023357791901056163,47.22477155867785,233.64494170056034,268.83804432463364,7.034431691965938,10.292484265087005,0.191,1.314
S9_HEAVY_LOAD,597.3013404823834,437.92636153167905,7643.431566572155,443700.2220362126,0.04064983016890741,44.69868091028123,210.85339667743597,265.2710984804437,12.847093669011478,62.05109218807849,0.15600000000000003,inf
