t,T_L,Te,v_ds,v_qs,omega_rpm,omega_sync_rpm,ids,iqs
0.0,0.0,4.08639041847925e-05,326.59863237109045,0.0,5.10819980720751e-07,1500.0,8.154491058720287,-0.12744832078142432
0.001,0.0,0.5079868571456112,326.59863237109045,0.0,0.05503400211678184,1500.0,75.98563573584059,-12.50769490156519
0.002,0.0,5.678241437812506,326.59863237109045,0.0,1.2120022024882673,1500.0,120.81162226623266,-36.694712949213226
0.003,0.0,22.438366497329135,326.59863237109045,0.0,7.330281105832747,1500.0,146.85449557475943,-64.04286348478192
0.004,0.0,56.270188569147095,326.59863237109045,0.0,25.379940720500144,1500.0,158.86596918525694,-89.52419238779426
0.005,0.0,108.15506717071028,326.59863237109045,0.0,63.968157343169004,1500.0,160.95492706798734,-110.75119235622668
0.006,0.0,173.0154363126457,326.59863237109045,0.0,130.74993189166878,1500.0,155.95219110469827,-126.8838981310032
0.007,0.0,240.16855816508985,326.59863237109045,0.0,229.5535330557372,1500.0,145.38396862450318,-137.5688533474766
0.008,0.0,296.01223359981867,326.59863237109045,0.0,358.2639669977892,1500.0,130.02797666373775,-142.2270752939776
0.009000000000000001,0.0,328.18512080400706,326.59863237109045,0.0,508.3915441074497,1500.0,110.73817984693868,-139.96970071437715
0.01,0.0,329.6480159675193,326.59863237109045,0.0,666.6762002640239,1500.0,89.05848372415589,-130.08592182051476
0.011000000000000001,0.0,301.1097867790553,326.59863237109045,0.0,818.2989954048036,1500.0,67.31252910291502,-112.69635926759494
0.012,0.0,250.82904325062182,326.59863237109045,0.0,950.64688926471,1500.0,48.20205383306484,-89.11616692292795
0.013000000000000001,0.0,191.77782471807967,326.59863237109045,0.0,1056.3309288289531,1500.0,34.1766456559773,-61.7276007255478
0.014,0.0,137.30264932259342,326.59863237109045,0.0,1134.4245663655004,1500.0,26.85762691416006,-33.47050036216576
0.015000000000000001,0.0,97.2118968702467,326.59863237109045,0.0,1189.6519301001565,1500.0,26.705277264324355,-7.213665775112243
0.016,0.0,75.89951969164132,326.59863237109045,0.0,1230.1522765451928,1500.0,33.00290612024504,14.755532494746511
0.017,0.0,72.79540136175514,326.59863237109045,0.0,1264.9223063533755,1500.0,44.1184817392227,31.00204429929931
0.018000000000000002,0.0,84.19015575489243,326.59863237109045,0.0,1301.853746345027,1500.0,57.91716863868368,40.96788048896391
0.019,0.0,105.15644327422366,326.59863237109045,0.0,1346.7104704031824,1500.0,72.17279687857126,44.81631794451846
0.02,0.0,130.76187717968895,326.59863237109045,0.0,1402.8719682504507,1500.0,84.87028820950975,43.188299012286926
0.021,0.0,156.43403290414125,326.59863237109045,0.0,1471.4479887076354,1500.0,94.36813442286228,36.955454418690564
0.022000000000000002,0.0,177.7787669247843,326.59863237109045,0.0,1551.4201331984677,1500.0,99.45364635670525,27.025438891506237
0.023,0.0,190.30436990369077,326.59863237109045,0.0,1639.655993300142,1500.0,99.35010078819356,14.224269427033107
0.024,0.0,189.46506218271665,326.59863237109045,0.0,1730.8537036062567,1500.0,93.72626268214576,-0.7399372742219832
