t,omega_ref_rpm,omega_rpm,omega_m,omega_e,ids,iqs,id_ref,iq_ref,iq_unsat,aw,Te,T_L,vd,vq,psi_r_mag,mpc_status
1.395,1500.0,1500.0004281617466,157.0796775164829,314.515218998431,4.999999911875107,0.15547246252350885,5.0,0.1554723149534006,0.1554723149534006,0.0,0.15707970675678196,0.0,1.9821357938313533,112.1923270282685,0.34650007034001584,1.0
1.3960000000000001,1500.0,1500.0004281747656,157.07967751784628,314.5152189864847,4.999999912882357,0.1554724557299114,5.0,0.1554723099472193,0.1554723099472193,0.0,0.15707970643240474,0.0,1.9821359581112692,112.19232676621178,0.3465000694851932,1.0
1.397,1500.0,1500.0004281876406,157.07967751919452,314.5152189746736,4.999999913878107,0.15547244901326493,5.0,0.15547230499641204,0.15547230499641204,0.0,0.15707970611159988,0.0,1.9821361205143393,112.19232650732695,0.34650006864072025,1.0
1.3980000000000001,1500.0,1500.0004282003715,157.0796775205277,314.5152189629959,4.9999999148624585,0.15547244237263233,5.0,0.1554723001002963,0.1554723001002963,0.0,0.15707970579426195,0.0,1.9821362810622345,112.1923262515755,0.34650006780647213,1.0
1.399,1500.0,1500.00042821296,157.07967752184598,314.5152189514503,4.999999915835557,0.15547243580726153,5.0,0.1554722952583843,0.1554722952583843,0.0,0.15707970548046288,0.0,1.9821364397756813,112.19232599891991,0.3465000669823256,1.0
1.4000000000000001,1500.0,1500.000428225409,157.07967752314963,314.51521894003565,4.999999916797539,0.1554724293163663,5.0,0.1554722904701412,0.1554722904701412,0.0,0.1570797051702305,0.0,1.9821365966763445,112.19232574932282,0.34650006616815854,1.0
1.401,1500.0,1500.0004282377186,157.0796775244387,314.51521892874996,4.999999917748553,0.1554724228989601,5.0,0.15547228573482672,0.15547228573482672,0.0,0.15707970486338113,0.0,1.9821367517837798,112.19232550274721,0.34650006536385053,1.0
1.4020000000000001,1500.0,1500.0004282498912,157.0796775257134,314.51521891759216,4.999999918688658,0.15547241655432348,5.0,0.15547228105197625,0.15547228105197625,0.0,0.1570797045599918,0.0,1.9821369051195425,112.19232525915672,0.34650006456928284,1.0
1.403,1500.0,1500.0004282619282,157.07967752697388,314.51521890656056,4.999999919618031,0.15547241028160705,5.0,0.15547227642097752,0.15547227642097752,0.0,0.15707970425999868,0.0,1.9821370567034782,112.1923250185153,0.3465000637843375,1.0
1.4040000000000001,1500.0,1500.000428273831,157.07967752822034,314.51521889565413,4.999999920536806,0.1554724040800327,5.0,0.1554722718413001,0.1554722718413001,0.0,0.1570797039634016,0.0,1.9821372065553218,112.19232478078749,0.34650006300889863,1.0
