t,omega_ref_rpm,omega_rpm,omega_m,omega_e,ids,iqs,id_ref,iq_ref,iq_unsat,aw,Te,T_L,vd,vq,psi_r_mag,mpc_status
0.0,0.0,0.0,0.0,0.0,4.911794082137682,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.090066154974933,0.0,0.00330941146350936,0.0
0.001,0.0,0.0,0.0,0.0,4.9257121068954834,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.8992337025777,0.0,0.0071518176535536855,0.0
0.002,0.0,0.0,0.0,0.0,4.934683483425428,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.864027301235207,0.0,0.010958398717119637,0.0
0.003,0.0,0.0,0.0,0.0,4.942790195497205,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.828647357178114,0.0,0.014728389943346283,0.0
0.004,0.0,0.0,0.0,0.0,4.950116281590728,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.793035723668844,0.0,0.01846156047754735,0.0
0.005,0.0,0.0,0.0,0.0,4.956734970875348,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.757254432384052,0.0,0.022157743134409224,0.0
0.006,0.0,0.0,0.0,0.0,4.962712642400222,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.721359348108999,0.0,0.025816827626792122,0.0
0.007,0.0,0.0,0.0,0.0,4.96810946781454,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.685400656505382,0.0,0.029438754775202605,0.0
0.008,0.0,0.0,0.0,0.0,4.972979991607953,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.6494234000936085,0.0,0.03302351126418279,0.0
0.009000000000000001,0.0,0.0,0.0,0.0,4.977373657113692,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.613467964154077,0.0,0.0365711248941552,0.0
0.01,0.0,0.0,0.0,0.0,4.981335283345855,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.57757051715166,0.0,0.04008166028235181,0.0
0.011,0.0,0.0,0.0,0.0,4.984905497266437,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.541763409936089,0.0,0.043555214970791165,0.0
0.012,0.0,0.0,0.0,0.0,4.988121125648045,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.50607553757034,0.0,0.04699191590319733,0.0
0.013000000000000001,0.0,0.0,0.0,0.0,4.991015550308921,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.470532667283171,0.0,0.05039191623631655,0.0
0.014,0.0,0.0,0.0,0.0,4.993619030143814,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.435157735709804,0.0,0.05375539245431744,0.0
0.015,0.0,0.0,0.0,0.0,4.995958993054353,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.399971118295466,0.0,0.05708254175788785,0.0
0.016,0.0,0.0,0.0,0.0,4.998060300592351,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.364990873461254,0.0,0.06037357970229563,0.0
0.017,0.0,0.0,0.0,0.0,4.999945487866604,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.330232963894187,0.0,0.06362873806108632,0.0
0.018000000000000002,0.0,0.0,0.0,0.0,5.001634981025317,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.295711457098687,0.0,0.066848262894272,0.0
0.019,0.0,0.0,0.0,0.0,5.003147294410065,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.261438707149672,0.0,0.0700324128018422,0.0
0.02,0.0,0.0,0.0,0.0,5.00449920928158,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.227425519404224,0.0,0.07318145734522108,0.0
0.021,0.0,0.0,0.0,0.0,5.005705935839622,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.193681299766113,0.0,0.0762956756209183,0.0
0.022,0.0,0.0,0.0,0.0,5.006781260098595,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.16021418994586,0.0,0.07937535497209576,0.0
0.023,0.0,0.0,0.0,0.0,5.007737677034434,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.12703119002842,0.0,0.08242078982510627,0.0
0.024,0.0,0.0,0.0,0.0,5.0085865112858565,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.094138269533656,0.0,0.08543228063927111,0.0
0.025,0.0,0.0,0.0,0.0,5.009338026573443,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.061540468045982,0.0,0.08841013295926076,0.0
0.026000000000000002,0.0,0.0,0.0,0.0,5.010001524891008,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.029241986388774,0.0,0.09135465656043769,0.0
0.027,0.0,0.0,0.0,0.0,5.010585436425202,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.997246269229191,0.0,0.09426616467842203,0.0
0.028,0.0,0.0,0.0,0.0,5.011097401070088,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.965556079912728,0.0,0.09714497331495808,0.0
0.029,0.0,0.0,0.0,0.0,5.011544342322268,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.934173568255887,0.0,0.0999914006129007,0.0
0.03,0.0,0.0,0.0,0.0,5.011932534268643,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.903100331954669,0.0,0.10280576629381269,0.0
0.031,0.0,0.0,0.0,0.0,5.012267662312667,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.8723374722088195,0.0,0.10558839115227275,0.0
0.032,0.0,0.0,0.0,0.0,5.012554878224145,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.8418856440975055,0.0,0.10833959660154631,0.0
0.033,0.0,0.0,0.0,0.0,5.012798850043283,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.811745102204542,0.0,0.11105970426577096,0.0
0.034,0.0,0.0,0.0,0.0,5.013003807319877,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.781915741931334,0.0,0.11374903561426285,0.0
0.035,0.0,0.0,0.0,0.0,5.013173582123769,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.752397136906424,0.0,0.11640791163396123,0.0
0.036000000000000004,0.0,0.0,0.0,0.0,5.013311646221773,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.723188572852003,0.0,0.11903665253640099,0.0
0.037,0.0,0.0,0.0,0.0,5.013421144779365,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.69428907824337,0.0,0.12163557749594105,0.0
0.038,0.0,0.0,0.0,0.0,5.013504926912007,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.66569745205918,0.0,0.12420500441628328,0.0
0.039,0.0,0.0,0.0,0.0,5.013565573380628,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.637412288895418,0.0,0.12674524972259346,0.0
0.04,0.0,0.0,0.0,0.0,5.013605421698049,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.609432001690434,0.0,0.12925662817678843,0.0
0.041,0.0,0.0,0.0,0.0,5.0136265888885605,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.581754842283961,0.0,0.13173945271378099,0.0
0.042,0.0,0.0,0.0,0.0,5.0136309921198,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.5543789200138045,0.0,0.13419403429668192,0.0
0.043000000000000003,0.0,0.0,0.0,0.0,5.013620367405922,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.527302218533983,0.0,0.13662068178914485,0.0
0.044,0.0,0.0,0.0,0.0,5.013596286562411,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.500522611020646,0.0,0.13901970184321089,0.0
0.045,0.0,0.0,0.0,0.0,5.013560172575809,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.474037873917477,0.0,0.14139139880116297,0.0
0.046,0.0,0.0,0.0,0.0,5.01351331353655,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.447845699356444,0.0,0.14373607461004062,0.0
0.047,0.0,0.0,0.0,0.0,5.013456875269315,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.421943706379812,0.0,0.14605402874759146,0.0
0.048,0.0,0.0,0.0,0.0,5.013391912782579,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.3963294510748465,0.0,0.1483455581585514,0.0
0.049,0.0,0.0,0.0,0.0,5.013319380647666,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.371000435722841,0.0,0.15061095720024884,0.0
0.05,0.0,0.0,0.0,0.0,5.013240142407477,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.3459541170560225,0.0,0.1528505175966226,0.0
0.051000000000000004,0.0,0.0,0.0,0.0,5.013154979105597,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.321187913706574,0.0,0.1550645283998303,0.0
0.052000000000000005,0.0,0.0,0.0,0.0,5.013064597017774,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.296699212921444,0.0,0.1572532759586983,0.0
0.053,0.0,0.0,0.0,0.0,5.012969634660762,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.272485376614551,0.0,0.15941704389333808,0.0
0.054,0.0,0.0,0.0,0.0,5.012870669145598,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.248543746816777,0.0,0.1615561130753146,0.0
0.055,0.0,0.0,0.0,0.0,5.012768221936932,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.22487165058252,0.0,0.16367076161281252,0.0
0.056,0.0,0.0,0.0,0.0,5.012662764073737,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.201466404401801,0.0,0.16576126484029632,0.0
0.057,0.0,0.0,0.0,0.0,5.012554720901918,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.1783253181648075,0.0,0.167827895312209,0.0
0.058,0.0,0.0,0.0,0.0,5.012444476364182,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.1554456987243125,0.0,0.16987092280029698,0.0
0.059000000000000004,0.0,0.0,0.0,0.0,5.012332376888915,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.132824853088402,0.0,0.17189061429418687,0.0
0.06,0.0,0.0,0.0,0.0,5.012218734915177,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.110460091284653,0.0,0.17388723400487696,0.0
0.061,0.0,0.0,0.0,0.0,5.0121038320881,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.08834872892008,0.0,0.1758610433708357,0.0
0.062,0.0,0.0,0.0,0.0,5.011987922155403,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.066488089472916,0.0,0.17781230106643095,0.0
0.063,0.0,0.0,0.0,0.0,5.011871233592876,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.044875506335442,0.0,0.17974126301243862,0.0
0.064,0.0,0.0,0.0,0.0,5.011753971984367,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.023508324635139,0.0,0.18164818238840333,0.0
0.065,0.0,0.0,0.0,0.0,5.011636322179076,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.002383902854314,0.0,0.18353330964664605,0.0
0.066,0.0,0.0,0.0,0.0,5.0115184502469345,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.981499614266366,0.0,0.18539689252773228,0.0
0.067,0.0,0.0,0.0,0.0,5.011400505251059,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.96085284820881,0.0,0.1872391760772328,0.0
0.068,0.0,0.0,0.0,0.0,5.011282620854448,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.9404410112045944,0.0,0.18906040266362506,0.0
0.069,0.0,0.0,0.0,0.0,5.011164916776099,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.920261527950535,0.0,0.1908608119971969,0.0
0.07,0.0,0.0,0.0,0.0,5.011047500111018,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.9003118421838163,0.0,0.1926406411498293,0.0
0.07100000000000001,0.0,0.0,0.0,0.0,5.010930466526513,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.8805894174356026,0.0,0.194400124575545,0.0
0.07200000000000001,0.0,0.0,0.0,0.0,5.010813901346605,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.861091737688576,0.0,0.19613949413172188,0.0
0.073,0.0,0.0,0.0,0.0,5.010697880534819,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.8418163079422216,0.0,0.19785897910087907,0.0
0.074,0.0,0.0,0.0,0.0,5.0105824715849625,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.8227606546970616,0.0,0.19955880621295327,0.0
0.075,0.0,0.0,0.0,0.0,5.010467734328407,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.8039223263671396,0.0,0.20123919966799084,0.0
0.076,0.0,0.0,0.0,0.0,5.010353721665829,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.785298893624028,0.0,0.20290038115918743,0.0
0.077,0.0,0.0,0.0,0.0,5.010240480230303,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.7668879496834755,0.0,0.2045425698962153,0.0
0.078,0.0,0.0,0.0,0.0,5.010128050988243,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.748687110536318,0.0,0.20616598262878294,0.0
0.079,0.0,0.0,0.0,0.0,5.010016469784083,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.7306940151329187,0.0,0.20777083367037785,0.0
0.08,0.0,0.0,0.0,0.0,5.009905767833714,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.7129063255218275,0.0,0.2093573349221483,0.0
0.081,0.0,0.0,0.0,0.0,5.009795972171871,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.6953217269513874,0.0,0.2109256958968838,0.0
0.082,0.0,0.0,0.0,0.0,5.00968710605721,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.677937927934451,0.0,0.21247612374305858,0.0
0.083,0.0,0.0,0.0,0.0,5.0095791893397426,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.6607526602825597,0.0,0.21400882326890566,0.0
0.084,0.0,0.0,0.0,0.0,5.009472238793381,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.643763679110875,0.0,0.2155239969664928,0.0
0.085,0.0,0.0,0.0,0.0,5.009366268417555,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.6269687628188603,0.0,0.21702184503577449,0.0
