controller,rmse_rpm,ise,itae,overshoot_%,settling_s,final_speed_rpm
PID,205.0634916127473,344860542.8933649,3814145.55131087,0.0,inf,0.28068129942553316
MPC,179.28887078253695,263617037.82829976,2057232.5621626885,0.0,inf,0.0014424718025310055
